Date,Plot ID,Treatment Type,ExG,Total Soil Moisture,Irrigation Added (gallons),Rainfall (gallons),ET0 (mm),Heat Index (F),Canopy Cover (CC),Kc (Crop Coeffecient)
2023-07-27,27,DICT,NA,220.4,NA,0,6.422742806977326,84.3253885,NA,NA
2023-07-28,27,DICT,NA,217.45,4050,0,6.3950402734856855,84.90391571,NA,NA
2023-07-29,27,DICT,NA,215.2166667,NA,0,5.074674130136744,84.26842953,NA,NA
2023-07-30,27,DICT,NA,213.4166667,NA,0,6.298773994914483,83.04122846,NA,NA
2023-07-31,27,DICT,0.12334217,212.0083333,NA,0,5.899101497839515,84.04033507,40.07756233,0.3730083103
2023-08-01,27,DICT,NA,NA,NA,0,6.778242042966687,NA,NA,NA
2023-08-02,27,DICT,NA,NA,NA,0,5.698370650331392,NA,NA,NA
2023-08-03,27,DICT,NA,NA,NA,0,6.469875006171462,NA,NA,NA
2023-08-04,27,DICT,0.151590722,NA,NA,0,6.754862737773584,NA,50.12742382,0.5036565097
2023-08-05,27,DICT,NA,NA,NA,0,8.091285384702154,NA,NA,NA
2023-08-06,27,DICT,NA,241.025,NA,0,7.046811986710244,NA,NA,NA
2023-08-07,27,DICT,0.124733649,220.6083333,4050,276.936,6.35246712520147,82.56027878,43.47587719,0.4171864035
2023-08-08,27,DICT,NA,210.95,NA,0,7.576063309338275,87.21057437,NA,NA
2023-08-09,27,DICT,NA,NA,NA,0,6.729471073891706,NA,NA,NA
2023-08-10,27,DICT,NA,NA,NA,0,4.929416424580526,NA,NA,NA
2023-08-11,27,DICT,0.135258733,NA,4060,0,7.131964119806419,NA,45.38248117,0.4419722552
2023-08-12,27,DICT,NA,NA,NA,276.936,7.095546759856969,NA,NA,NA
2023-08-13,27,DICT,NA,212.3666667,NA,730.104,6.526020760164731,87.55674665,NA,NA
2023-08-14,27,DICT,NA,211.1,NA,0,4.289966572368692,78.72518528,NA,NA
2023-08-15,27,DICT,NA,210.3,NA,0,3.9328414875638655,79.2391834,NA,NA
2023-08-16,27,DICT,0.122104073,210.5,NA,0,6.09173128224056,84.03253664,27.58805842,0.2106447595
2023-08-17,27,DICT,NA,219.3333333,NA,0,6.246884203951275,86.55675351,NA,NA
2023-08-18,27,DICT,NA,218.65,NA,0,6.438393901059855,86.59402191,NA,NA
2023-08-19,27,DICT,NA,215.0166667,NA,0,6.895618430106388,83.93894294,NA,NA
2023-08-20,27,DICT,NA,212.6333333,NA,0,5.4021989895281886,82.06158328,NA,NA
2023-08-21,27,DICT,NA,211.1333333,4070,0,6.271405922150108,85.20992241,NA,NA
2023-08-22,27,DICT,NA,210.0666667,NA,0,4.5775654431880985,84.88410741,NA,NA
2023-08-23,27,DICT,NA,209.4333333,NA,0,5.216271118965082,83.1629015,NA,NA
2023-08-24,27,DICT,0.104088075,209.8,NA,0,4.099551102064707,83.46461785,26.43559826,0.1956627774
2023-08-25,27,DICT,NA,219.05,NA,0,5.50447268560029,82.57736526,NA,NA
2023-08-26,27,DICT,NA,219.2333333,NA,0,4.718165257846353,81.48244874,NA,NA
2023-08-27,27,DICT,NA,216.75,NA,0,3.199208562482251,81.89732007,NA,NA
2023-08-28,27,DICT,NA,214.95,NA,0,3.0212240618448214,80.92993357,NA,NA
2023-08-29,27,DICT,NA,213.3333333,NA,201.408,4.92114731832688,78.36317464,NA,NA
2023-08-30,27,DICT,NA,212.1,4070,0,2.384700466523309,78.70423394,NA,NA
2023-08-31,27,DICT,NA,211,NA,0,3.5962140391486423,79.59314184,NA,NA
2023-09-01,27,DICT,NA,NA,NA,0,4.4223356107043825,NA,NA,NA
2023-09-02,27,DICT,NA,NA,NA,0,4.170546066376036,NA,NA,NA
2023-09-03,27,DICT,NA,NA,NA,0,5.170223318109445,NA,NA,NA
2023-09-04,27,DICT,NA,NA,NA,25.176,8.858359325499812,NA,NA,NA
2023-09-05,27,DICT,0.068187461,NA,NA,0,6.626773911991476,NA,4.686980609,-0.08706925208
2023-09-06,27,DICT,NA,239.9083333,NA,0,NA,NA,NA,NA
2023-09-07,27,DICT,NA,219.1625,NA,0,NA,82.78480192,NA,NA
2023-09-08,27,DICT,NA,211.2333333,NA,0,NA,86.33492243,NA,NA
2023-09-09,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-10,27,DICT,NA,NA,NA,981.864,NA,NA,NA,NA
2023-09-11,27,DICT,NA,NA,4100,453.168,NA,NA,NA,NA
2023-09-12,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-13,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-14,27,DICT,NA,NA,NA,9516.528,NA,NA,NA,NA
2023-09-15,27,DICT,NA,NA,NA,11278.848,NA,NA,NA,NA
2023-09-16,27,DICT,NA,NA,NA,4632.384,NA,NA,NA,NA
2023-09-17,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-18,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-19,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-20,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-21,27,DICT,NA,NA,NA,25.176,NA,NA,NA,NA
2023-09-22,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-23,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-24,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-25,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-26,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-27,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-28,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-09-29,27,DICT,NA,NA,NA,276.936,NA,NA,NA,NA
2023-09-30,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-01,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-02,27,DICT,NA,NA,NA,6797.52,NA,NA,NA,NA
2023-10-03,27,DICT,NA,NA,NA,7426.92,NA,NA,NA,NA
2023-10-04,27,DICT,NA,NA,NA,1888.2,NA,NA,NA,NA
2023-10-05,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-06,27,DICT,NA,238.8833333,NA,0,NA,NA,NA,NA
2023-10-07,27,DICT,NA,219.1541667,NA,0,NA,83.93458201,NA,NA
2023-10-08,27,DICT,NA,220,NA,0,NA,86.48508959,NA,NA
2023-10-09,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-10,27,DICT,NA,NA,NA,25.176,NA,NA,NA,NA
2023-10-11,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-12,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-13,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-14,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-15,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-16,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-17,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-18,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-19,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-20,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-21,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-22,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-23,27,DICT,NA,NA,NA,3222.528,NA,NA,NA,NA
2023-10-24,27,DICT,NA,NA,NA,3776.4,NA,NA,NA,NA
2023-10-25,27,DICT,NA,NA,NA,2517.6,NA,NA,NA,NA
2023-10-26,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-27,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-28,27,DICT,NA,NA,NA,604.224,NA,NA,NA,NA
2023-10-29,27,DICT,NA,NA,NA,251.76,NA,NA,NA,NA
2023-10-30,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-10-31,27,DICT,NA,NA,NA,0,NA,NA,NA,NA
2023-05-01,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-02,28,DIEG,NA,NA,NA,906.336,NA,NA,NA,NA
2023-05-03,28,DIEG,NA,NA,NA,5060.376,NA,NA,NA,NA
2023-05-04,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-05,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-06,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-07,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-08,28,DIEG,NA,218.8375,NA,0,NA,88.74884473,NA,NA
2023-05-09,28,DIEG,NA,206.1333333,NA,0,NA,84.76233979,NA,NA
2023-05-10,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-11,28,DIEG,-0.043239869,NA,NA,3952.632,NA,NA,0,-0.148
2023-05-12,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-13,28,DIEG,NA,NA,NA,4531.68,NA,NA,NA,NA
2023-05-14,28,DIEG,NA,NA,NA,855.984,NA,NA,NA,NA
2023-05-15,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-16,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-17,28,DIEG,-0.035907113,NA,NA,50.352,NA,NA,0,-0.148
2023-05-18,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-19,28,DIEG,NA,NA,NA,352.464,NA,NA,NA,NA
2023-05-20,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-21,28,DIEG,NA,NA,NA,503.52,NA,NA,NA,NA
2023-05-22,28,DIEG,NA,NA,NA,6520.584,NA,NA,NA,NA
2023-05-23,28,DIEG,-0.042275677,NA,NA,1283.976,NA,NA,0,-0.148
2023-05-24,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-25,28,DIEG,NA,NA,NA,5337.312,NA,NA,NA,NA
2023-05-26,28,DIEG,NA,NA,NA,3826.752,NA,NA,NA,NA
2023-05-27,28,DIEG,NA,NA,NA,3197.352,NA,NA,NA,NA
2023-05-28,28,DIEG,NA,NA,NA,2769.36,NA,NA,NA,NA
2023-05-29,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-30,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-05-31,28,DIEG,NA,NA,NA,276.936,NA,NA,NA,NA
2023-06-01,28,DIEG,NA,NA,NA,1686.792,NA,NA,NA,NA
2023-06-02,28,DIEG,NA,NA,NA,1812.672,NA,NA,NA,NA
2023-06-03,28,DIEG,NA,NA,NA,2114.784,NA,NA,NA,NA
2023-06-04,28,DIEG,NA,NA,NA,50.352,NA,NA,NA,NA
2023-06-05,28,DIEG,NA,NA,NA,75.528,NA,NA,NA,NA
2023-06-06,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-07,28,DIEG,NA,NA,NA,2719.008,NA,NA,NA,NA
2023-06-08,28,DIEG,NA,214.0083333,NA,0,NA,87.45687746,NA,NA
2023-06-09,28,DIEG,-0.030358717,NA,NA,0,NA,NA,0,-0.148
2023-06-10,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-11,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-12,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-13,28,DIEG,-0.016018554,NA,NA,0,NA,NA,4.290296712,-0.09222614274
2023-06-14,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-15,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-16,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-17,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-18,28,DIEG,-0.012633795,NA,NA,0,NA,NA,7.061403509,-0.05620175438
2023-06-19,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-20,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-21,28,DIEG,NA,NA,0,0,NA,NA,NA,NA
2023-06-22,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-23,28,DIEG,NA,NA,NA,1032.216,NA,NA,NA,NA
2023-06-24,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-25,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-26,28,DIEG,NA,NA,4010,0,NA,NA,NA,NA
2023-06-27,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-28,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-06-29,28,DIEG,NA,NA,1550,0,NA,NA,NA,NA
2023-06-30,28,DIEG,0.036943887,NA,NA,3323.232,NA,NA,22.55770068,0.1452501088
2023-07-01,28,DIEG,NA,NA,NA,906.336,NA,NA,NA,NA
2023-07-02,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-03,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-04,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-05,28,DIEG,0.088305802,NA,0,0,NA,NA,36.98828644,0.3328477237
2023-07-06,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-07,28,DIEG,NA,NA,NA,553.872,NA,NA,NA,NA
2023-07-08,28,DIEG,NA,210.6958333,NA,125.88,NA,83.95531491,NA,NA
2023-07-09,28,DIEG,0.087857519,NA,NA,0,NA,NA,40.32799587,0.3762639463
2023-07-10,28,DIEG,NA,NA,NA,4456.152,NA,NA,NA,NA
2023-07-11,28,DIEG,NA,NA,NA,453.168,NA,NA,NA,NA
2023-07-12,28,DIEG,0.085670625,NA,2840,0,NA,NA,41.34070295,0.3894291384
2023-07-13,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-14,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-15,28,DIEG,NA,NA,NA,302.112,NA,NA,NA,NA
2023-07-16,28,DIEG,NA,NA,NA,1435.032,NA,NA,NA,NA
2023-07-17,28,DIEG,0.09419292,NA,NA,0,NA,NA,43.97679952,0.4236983938
2023-07-18,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-19,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-20,28,DIEG,0.108524082,NA,NA,0,NA,NA,46.68512111,0.4589065744
2023-07-21,28,DIEG,NA,NA,6910,0,NA,NA,NA,NA
2023-07-22,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-23,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-24,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-25,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-26,28,DIEG,0.133598271,NA,NA,0,NA,NA,52.23268698,0.5310249307
2023-07-27,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-28,28,DIEG,NA,NA,5280,0,NA,NA,NA,NA
2023-07-29,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-30,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-07-31,28,DIEG,0.113570683,NA,NA,0,NA,NA,45.46260388,0.4430138504
2023-08-01,28,DIEG,NA,NA,NA,0,7.207986170371565,NA,NA,NA
2023-08-02,28,DIEG,NA,NA,NA,0,5.698370650331392,NA,NA,NA
2023-08-03,28,DIEG,NA,NA,NA,0,6.469875006171462,NA,NA,NA
2023-08-04,28,DIEG,0.128626081,NA,NA,0,6.7561362057409715,NA,52.66447368,0.5366381578
2023-08-05,28,DIEG,NA,NA,NA,0,8.093488960875584,NA,NA,NA
2023-08-06,28,DIEG,NA,NA,NA,0,7.046811986710244,NA,NA,NA
2023-08-07,28,DIEG,0.119191021,NA,5010,276.936,6.35246712520147,NA,51.49122807,0.5213859649
2023-08-08,28,DIEG,NA,208.6166667,NA,0,7.576063309338275,87.21057437,NA,NA
2023-08-09,28,DIEG,NA,NA,NA,0,6.729471073891706,NA,NA,NA
2023-08-10,28,DIEG,NA,NA,NA,0,4.929770046070176,NA,NA,NA
2023-08-11,28,DIEG,0.12186473,NA,6260,0,7.135025214403463,NA,53.30955212,0.5450241776
2023-08-12,28,DIEG,NA,NA,NA,276.936,7.095546759856969,NA,NA,NA
2023-08-13,28,DIEG,NA,213.4625,NA,730.104,6.526020760164731,87.55674665,NA,NA
2023-08-14,28,DIEG,NA,210.9583333,NA,0,4.289966572368692,78.72518528,NA,NA
2023-08-15,28,DIEG,NA,209.1625,NA,0,3.9328414875638655,79.2391834,NA,NA
2023-08-16,28,DIEG,0.12015721,208.4166667,NA,0,6.09173128224056,84.03253664,35.07302405,0.3079493127
2023-08-17,28,DIEG,NA,220.0333333,NA,0,6.246884203951275,86.55675351,NA,NA
2023-08-18,28,DIEG,NA,225.5833333,NA,0,6.439354421548604,86.7431562,NA,NA
2023-08-19,28,DIEG,NA,220.7,NA,0,6.896926008681489,84.12736045,NA,NA
2023-08-20,28,DIEG,NA,215.7,NA,0,5.4021989895281886,82.06158328,NA,NA
2023-08-21,28,DIEG,NA,212.4166667,7260,0,6.271405922150108,85.20992241,NA,NA
2023-08-22,28,DIEG,NA,210.1,NA,0,4.5775654431880985,84.88410741,NA,NA
2023-08-23,28,DIEG,NA,208.4666667,NA,0,5.216271118965082,83.1629015,NA,NA
2023-08-24,28,DIEG,0.119946997,207.9833333,NA,0,4.099551102064707,83.46461785,38.96133608,0.358497369
2023-08-25,28,DIEG,NA,219.6333333,NA,0,5.504523998900125,82.58553125,NA,NA
2023-08-26,28,DIEG,NA,220.2,NA,0,4.720480049917338,81.90255073,NA,NA
2023-08-27,28,DIEG,NA,216.55,NA,0,3.199208562482251,81.89732007,NA,NA
2023-08-28,28,DIEG,NA,214.1458333,NA,0,3.0212240618448214,80.92993357,NA,NA
2023-08-29,28,DIEG,NA,212.0875,NA,201.408,4.92114731832688,78.36317464,NA,NA
2023-08-30,28,DIEG,NA,210.4625,4410,0,2.384700466523309,78.70423394,NA,NA
2023-08-31,28,DIEG,NA,208.9375,NA,0,3.5962140391486423,79.59314184,NA,NA
2023-09-01,28,DIEG,NA,NA,NA,0,4.4223356107043825,NA,NA,NA
2023-09-02,28,DIEG,NA,NA,NA,0,4.170546066376036,NA,NA,NA
2023-09-03,28,DIEG,NA,NA,NA,0,5.170223318109445,NA,NA,NA
2023-09-04,28,DIEG,NA,NA,NA,25.176,8.858359325499812,NA,NA,NA
2023-09-05,28,DIEG,0.080917571,NA,NA,0,6.626773911991476,NA,16.96398892,0.07253185596
2023-09-06,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-07,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-08,28,DIEG,NA,208.3625,NA,0,NA,86.33492243,NA,NA
2023-09-09,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-10,28,DIEG,NA,NA,NA,981.864,NA,NA,NA,NA
2023-09-11,28,DIEG,NA,NA,3620,453.168,NA,NA,NA,NA
2023-09-12,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-13,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-14,28,DIEG,NA,NA,NA,9516.528,NA,NA,NA,NA
2023-09-15,28,DIEG,NA,NA,NA,11278.848,NA,NA,NA,NA
2023-09-16,28,DIEG,NA,NA,NA,4632.384,NA,NA,NA,NA
2023-09-17,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-18,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-19,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-20,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-21,28,DIEG,NA,NA,NA,25.176,NA,NA,NA,NA
2023-09-22,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-23,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-24,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-25,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-26,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-27,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-28,28,DIEG,NA,NA,NA,0,NA,NA,NA,NA
2023-09-29,28,DIEG,NA,NA,NA,276.936,NA,NA,NA,NA
