Date ,Plot ID,Treatment Type ,Water Stress,Irrigation to Add,Etc (Kc x Et0) ,Delta ExG (+ or - based on Recs)
09/30/2025,102,R_F,No Stress,0,4.04,0.0203
10/07/2025,102,R_F,No Stress,0,3.95,-0.0519
10/14/2025,102,R_F,No Stress,0,3.98,0.0533
10/21/2025,102,R_F,No Stress,0,3.98,-0.0287
10/28/2025,102,R_F,No Stress,0,3.91,-0.0192
11/04/2025,102,R_F,No Stress,0,3.92,0.0238
11/11/2025,102,R_F,No Stress,0,3.86,-0.0023
11/18/2025,102,R_F,No Stress,0,4.06,0.0124
06/04/2025,404,H_I,No Stress,0,0.00,0.4378
06/05/2025,404,H_I,No Stress,0,0.00,0.5622
06/07/2025,404,H_I,Unknown,0,4.46,0.0000
06/08/2025,404,H_I,Unknown,0,4.19,0.0000
06/09/2025,404,H_I,Unknown,0,4.09,0.0000
06/10/2025,404,H_I,No Stress,0,4.00,0.0000
06/11/2025,404,H_I,Unknown,0,2.33,0.0000
06/12/2025,404,H_I,Unknown,0,2.51,0.0000
06/13/2025,404,H_I,Unknown,0,2.88,0.0000
06/14/2025,404,H_I,Unknown,0,4.13,0.0000
06/15/2025,404,H_I,Unknown,0,4.13,0.0000
06/16/2025,404,H_I,No Stress,0,3.51,0.0000
06/17/2025,404,H_I,Unknown,0,5.03,0.0000
06/18/2025,404,H_I,Unknown,0,5.16,0.0000
06/19/2025,404,H_I,Unknown,0,4.37,0.0000
06/20/2025,404,H_I,No Stress,0,4.19,0.0000
06/21/2025,404,H_I,Unknown,0,4.14,0.0000
06/22/2025,404,H_I,Unknown,0,4.95,0.0000
06/23/2025,404,H_I,Unknown,0,4.66,0.0000
06/24/2025,404,H_I,Unknown,0,4.74,0.0000
06/25/2025,404,H_I,Unknown,0,4.63,0.0000
06/26/2025,404,H_I,Unknown,0,6.09,0.0000
06/27/2025,404,H_I,Unknown,0,6.96,0.0000
06/28/2025,404,H_I,Unknown,0,6.67,0.0000
06/29/2025,404,H_I,Unknown,0,5.72,0.0000
06/30/2025,404,H_I,Unknown,0,4.42,0.0000
07/01/2025,404,H_I,Unknown,0,0.00,0.0000
07/08/2025,404,H_I,No Stress,0,4.49,0.0000
07/15/2025,404,H_I,No Stress,0,4.09,0.0269
07/22/2025,404,H_I,No Stress,0,4.37,0.0072
07/29/2025,404,H_I,No Stress,0,4.79,-0.0116
08/05/2025,404,H_I,No Stress,0,4.44,0.0016
08/12/2025,404,H_I,No Stress,0,4.68,0.0205
08/19/2025,404,H_I,No Stress,0,4.53,-0.0132
08/26/2025,404,H_I,No Stress,0,4.16,-0.0060
09/02/2025,404,H_I,No Stress,0,4.44,-0.0009
09/09/2025,404,H_I,No Stress,0,4.40,-0.0097
09/16/2025,404,H_I,No Stress,0,4.59,0.0125
09/23/2025,404,H_I,No Stress,0,4.54,-0.0248
09/30/2025,404,H_I,No Stress,0,4.54,0.0064
10/07/2025,404,H_I,No Stress,0,4.43,0.0193
10/14/2025,404,H_I,No Stress,0,4.31,-0.0295
10/21/2025,404,H_I,No Stress,0,4.77,0.0407
10/28/2025,404,H_I,No Stress,0,4.60,-0.0317
11/04/2025,404,H_I,No Stress,0,4.42,0.0148
11/11/2025,404,H_I,No Stress,0,4.50,0.0164
11/18/2025,404,H_I,No Stress,0,4.32,-0.0252
06/04/2025,409,F_I,No Stress,0,0.00,0.3889
06/05/2025,409,F_I,No Stress,0,0.00,0.4711
06/06/2025,409,F_I,Unknown,0,4.14,0.0000
06/07/2025,409,F_I,Unknown,0,4.43,0.0000
06/08/2025,409,F_I,Unknown,0,4.15,0.0000
06/09/2025,409,F_I,Unknown,0,4.06,0.0000
06/10/2025,409,F_I,No Stress,0,3.97,0.0000
06/11/2025,409,F_I,Unknown,0,2.31,0.0000
06/12/2025,409,F_I,Unknown,0,3.71,0.0000
06/13/2025,409,F_I,Unknown,0,4.25,0.0000
06/14/2025,409,F_I,Unknown,0,4.12,0.0000
06/15/2025,409,F_I,Unknown,0,4.12,0.0000
06/16/2025,409,F_I,No Stress,0,3.64,0.0000
06/17/2025,409,F_I,Unknown,0,5.01,0.0000
06/18/2025,409,F_I,Unknown,0,4.33,0.0000
06/19/2025,409,F_I,Unknown,0,4.33,0.0000
06/20/2025,409,F_I,No Stress,0,4.16,0.0000
06/21/2025,409,F_I,Unknown,0,4.02,0.0000
06/22/2025,409,F_I,Unknown,0,4.81,0.0000
06/23/2025,409,F_I,Unknown,0,4.53,0.0000
06/24/2025,409,F_I,Unknown,0,4.70,0.0000
06/25/2025,409,F_I,Unknown,0,5.98,0.0000
06/26/2025,409,F_I,Unknown,0,6.20,0.0000
06/27/2025,409,F_I,Unknown,0,7.08,0.0000
06/28/2025,409,F_I,Unknown,0,6.79,0.0000
06/29/2025,409,F_I,Unknown,0,5.83,0.0000
06/30/2025,409,F_I,Unknown,0,4.50,0.0000
07/01/2025,409,F_I,Unknown,0,0.00,0.0000
07/08/2025,409,F_I,No Stress,0,4.37,0.0000
07/15/2025,409,F_I,No Stress,0,4.47,0.0209
07/22/2025,409,F_I,No Stress,0,4.23,-0.0226
07/29/2025,409,F_I,No Stress,0,4.53,0.0091
08/05/2025,409,F_I,No Stress,0,4.84,-0.0387
08/12/2025,409,F_I,No Stress,0,4.39,-0.0061
08/19/2025,409,F_I,No Stress,0,4.60,0.0121
08/26/2025,409,F_I,No Stress,0,4.14,0.0384
09/02/2025,409,F_I,No Stress,0,4.06,-0.0211
09/09/2025,409,F_I,No Stress,0,4.71,-0.0116
09/16/2025,409,F_I,No Stress,0,4.48,0.0209
09/23/2025,409,F_I,No Stress,0,4.86,-0.0108
09/30/2025,409,F_I,No Stress,0,4.54,-0.0277
10/07/2025,409,F_I,No Stress,0,4.66,0.0511
10/14/2025,409,F_I,No Stress,0,4.61,-0.0047
10/21/2025,409,F_I,No Stress,0,4.45,-0.0176
10/28/2025,409,F_I,No Stress,0,4.47,-0.0226
11/04/2025,409,F_I,No Stress,0,4.49,0.0445
11/11/2025,409,F_I,No Stress,0,4.50,-0.0388
11/18/2025,409,F_I,No Stress,0,4.47,0.0122
